,Unnamed: 0,cat,end,segment,start
28,5,3,1522666313.45,"0,0,0,0,0,0,0,2",1522666273.34
23,0,3,1522666347.76,"0,0,0,0,0,0,2,3,1,1",1522666278.12
14,8,1,1522666433.4,"1,1,1,3",1522666392.25
