,Unnamed: 0,cat,end,segment,start
3,3,0,1522666830.97,"0,0,2,0,4,1,1,0",1522666773.4
29,6,3,1522666867.39,"0,0,0,0,2,3",1522666828.03
25,2,3,1522666880.54,"0,0,0,2,3,1",1522666832.23
8,2,1,1522666971.57,"1,1,0",1522666943.01
