,Unnamed: 0,cat,end,segment,start
1,1,0,1522665672.36,"0,0,2,2,4,1",1522665608.0
19,1,2,1522665728.69,"2,2,2,2,3,3,3",1522665673.52
7,1,1,1522665780.1,"1,1,1,0,0",1522665746.23
