,Unnamed: 0,cat,end,segment,start
30,0,4,1522664708.24,"0,0,0,0,0,0,3,1,1,2",1522664630.91
12,6,1,1522664777.32,"1,1,1,1,0",1522664732.67
31,1,4,1522664777.32,0.0,1522664768.56
