,Unnamed: 0,cat,end,segment,start
5,5,0,1522667922.55,"0,0,2,2,4,1,1",1522667863.21
21,3,2,1522667985.28,"2,2,2,2,3,3,1",1522667927.18
10,4,1,1522668028.52,"1,1,0",1522667996.96
22,4,2,1522668028.52,2.0,1522668020.89
