1.192781870166874647e-01,1.192781870166874647e-01,1.192781870166874647e-01,1.192781870166874647e-01,1.192781870166874647e-01,1.192781870166874647e-01,1.192781870166874647e-01,1.192781870166874647e-01
1.187069443632609023e-01,1.187069443632609023e-01,1.187069443632609023e-01,1.187069443632609023e-01,1.187069443632609023e-01,1.187069443632609023e-01,1.187069443632609023e-01,1.187069443632609023e-01
1.184766458901407304e-01,1.184766458901407304e-01,1.184766458901407304e-01,1.184766458901407304e-01,1.184766458901407304e-01,1.184766458901407304e-01,1.184766458901407304e-01,1.184766458901407304e-01
1.184092478709430907e-01,1.184092478709430907e-01,1.184092478709430907e-01,1.184092478709430907e-01,1.184092478709430907e-01,1.184092478709430907e-01,1.184092478709430907e-01,1.184092478709430907e-01
1.184065844553288116e-01,1.184065844553288116e-01,1.184065844553288116e-01,1.184065844553288116e-01,1.184065844553288116e-01,1.184065844553288116e-01,1.184065844553288116e-01,1.184065844553288116e-01
1.184306368034526713e-01,1.184306368034526713e-01,1.184306368034526713e-01,1.184306368034526713e-01,1.184306368034526713e-01,1.184306368034526713e-01,1.184306368034526713e-01,1.184306368034526713e-01
1.185830359983128801e-01,1.185830359983128801e-01,1.185830359983128801e-01,1.185830359983128801e-01,1.185830359983128801e-01,1.185830359983128801e-01,1.185830359983128801e-01,1.185830359983128801e-01
1.300755039416117143e-01,1.300755039416117143e-01,1.300755039416117143e-01,1.300755039416117143e-01,1.300755039416117143e-01,1.300755039416117143e-01,1.300755039416117143e-01,1.300755039416117143e-01
1.886764032724386198e-01,1.886764032724386198e-01,1.886764032724386198e-01,1.886764032724386198e-01,1.886764032724386198e-01,1.886764032724386198e-01,1.886764032724386198e-01,1.886764032724386198e-01
9.448540586192848423e-01,9.448540586192848423e-01,9.448540586192848423e-01,9.448540586192848423e-01,9.448540586192848423e-01,9.448540586192848423e-01,9.448540586192848423e-01,9.448540586192848423e-01
1.929304537762618565e+00,1.929304537762618565e+00,1.929304537762618565e+00,1.929304537762618565e+00,1.929304537762618565e+00,1.929304537762618565e+00,1.929304537762618565e+00,1.929304537762618565e+00
2.325487861137389700e+00,2.325487861137389700e+00,2.325487861137389700e+00,2.325487861137389700e+00,2.325487861137389700e+00,2.325487861137389700e+00,2.325487861137389700e+00,2.325487861137389700e+00
2.577258470135802781e+00,2.577258470135802781e+00,2.577258470135802781e+00,2.577258470135802781e+00,2.577258470135802781e+00,2.577258470135802781e+00,2.577258470135802781e+00,2.577258470135802781e+00
