,x,y,z,hand,qx,qy,qz,qw,power_x_raw,power_y_raw,power_z_raw,power_raw,power_x,power_y,power_z,power,time
0,-0.41643170295433396,1.1860200963197531,0.6756266640023765,1.0,0.4999224484671997,-0.49965150277219234,0.5003476280687699,0.5000781662720398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1522668719.570707
1,-0.41643170295433396,1.1860200963197531,0.6756266640023765,1.0,0.4999224484671997,-0.49965150277219234,0.5003476280687699,0.5000781662720398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1522668719.580653
2,-0.41643170295433396,1.1860200963197531,0.6756266640023765,1.0,0.4999224484671997,-0.49965150277219234,0.5003476280687699,0.5000781662720398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1522668719.590657
3,-0.41643170295433396,1.1860200963197531,0.6756266640023765,1.0,0.4999224484671997,-0.49965150277219234,0.5003476280687699,0.5000781662720398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1522668719.600643
4,-0.41643170295433396,1.1860200963197531,0.6756266640023765,1.0,0.4999224484671997,-0.49965150277219234,0.5003476280687699,0.5000781662720398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1522668719.612008
5,-0.41643170295433396,1.1860200963197531,0.6756266640023765,1.0,0.4999224484671997,-0.49965150277219234,0.5003476280687699,0.5000781662720398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1522668719.622409
6,-0.41643170295433396,1.1860200963197531,0.6756266640023765,1.0,0.4999224484671997,-0.49965150277219234,0.5003476280687699,0.5000781662720398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1522668719.633719
7,-0.41643170295433396,1.1860200963197531,0.6756266640023765,1.0,0.4999224484671997,-0.49965150277219234,0.5003476280687699,0.5000781662720398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1522668719.64057
8,-0.41643170295433396,1.1860200963197531,0.6756266640023765,1.0,0.4999224484671997,-0.49965150277219234,0.5003476280687699,0.5000781662720398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1522668719.650524
9,-0.41643170295433396,1.1860200963197531,0.6756266640023765,1.0,0.4999224484671997,-0.49965150277219234,0.5003476280687699,0.5000781662720398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1522668719.660572
10,-0.41643170295433396,1.1860200963197531,0.6756266640023765,1.0,0.4999224484671997,-0.49965150277219234,0.5003476280687699,0.5000781662720398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1522668719.670612
11,-0.41643170295433396,1.1860200963197531,0.6756266640023765,1.0,0.4999224484671997,-0.49965150277219234,0.5003476280687699,0.5000781662720398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1522668719.680598
12,-0.41643170295433396,1.1860200963197531,0.6756266640023765,1.0,0.4999224484671997,-0.49965150277219234,0.5003476280687699,0.5000781662720398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1522668719.690524
13,-0.41643170295433396,1.1860200963197531,0.6756266640023765,1.0,0.4999224484671997,-0.49965150277219234,0.5003476280687699,0.5000781662720398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1522668719.700659
14,-0.41643170295433396,1.1860200963197531,0.6756266640023765,1.0,0.4999224484671997,-0.49965150277219234,0.5003476280687699,0.5000781662720398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1522668719.713031
15,-0.41643170295433396,1.1860200963197531,0.6756266640023765,1.0,0.4999224484671997,-0.49965150277219234,0.5003476280687699,0.5000781662720398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1522668719.72073
16,-0.41643170295433396,1.1860200963197531,0.6756266640023765,1.0,0.4999224484671997,-0.49965150277219234,0.5003476280687699,0.5000781662720398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1522668719.730557
17,-0.41643170295433396,1.1860200963197531,0.6756266640023765,1.0,0.4999224484671997,-0.49965150277219234,0.5003476280687699,0.5000781662720398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1522668719.7406
18,-0.41643170295433396,1.1860200963197531,0.6756266640023765,1.0,0.4999224484671997,-0.49965150277219234,0.5003476280687699,0.5000781662720398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1522668719.752075
19,-0.41643170295433396,1.1860200963197531,0.6756266640023765,1.0,0.4999224484671997,-0.49965150277219234,0.5003476280687699,0.5000781662720398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1522668719.760604
20,-0.41643170295433396,1.1860200963197531,0.6756266640023765,1.0,0.4999224484671997,-0.49965150277219234,0.5003476280687699,0.5000781662720398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1522668719.770619
21,-0.41643170295433396,1.1860200963197531,0.6756266640023765,1.0,0.4999224484671997,-0.49965150277219234,0.5003476280687699,0.5000781662720398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1522668719.780659
22,-0.41643170295433396,1.1860200963197531,0.6756266640023765,1.0,0.4999224484671997,-0.49965150277219234,0.5003476280687699,0.5000781662720398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1522668719.790579
23,-0.41643170295433396,1.1860200963197531,0.6756266640023765,1.0,0.4999224484671997,-0.49965150277219234,0.5003476280687699,0.5000781662720398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1522668719.800664
