,cat,end,segment,start
0,2,1522665425.29,"2,2,2,2,2,2,3,3,1",1522665361.21
1,2,1522665728.69,"2,2,2,2,3,3,3",1522665673.52
2,2,1522667668.61,"2,2,2,3,3,1,1",1522667615.34
3,2,1522667985.28,"2,2,2,2,3,3,1",1522667927.18
4,2,1522668028.52,2.0,1522668020.89
