,cat,end,segment,start
0,3,1522666347.76,"0,0,0,0,0,0,2,3,1,1",1522666278.12
1,3,1522666701.9,"0,0,0,0,0,0,0,0,0,2,3",1522666627.82
2,3,1522666880.54,"0,0,0,2,3,1",1522666832.23
3,3,1522668211.86,"0,0,0,0,2,3,1,1,1",1522668145.63
4,3,1522668870.97,"0,0,0,0,0,2,3,1,1",1522668805.18
5,3,1522666313.45,"0,0,0,0,0,0,0,2",1522666273.34
6,3,1522666867.39,"0,0,0,0,2,3",1522666828.03
