,cat,end,segment,start
0,0,1522664960.82,"0,0,2,2,4,1",1522664899.35
1,0,1522665672.36,"0,0,2,2,4,1",1522665608.0
2,0,1522666623.47,"0,0,0,4,1",1522666565.22
3,0,1522666830.97,"0,0,2,0,4,1,1,0",1522666773.4
4,0,1522667384.01,"0,2,2,4,1",1522667330.38
5,0,1522667922.55,"0,0,2,2,4,1,1",1522667863.21
